No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
1109	矇矓	hazy			NECHl *m-luːŋɦ	
1110	蠓	midge			GHl *C-mət	mɔːt⁹
1111	夢	dream	*fʰən	*fən		pɔːn¹
1112	夢囈	sleeptalk	*fʰiŋʔ	*fiŋʔ		[lɔːw²mɔːŋ⁴]
1113	迷路	get lost	*C-ŋɯː	*C-ŋɯː		[pɯːŋ⁴]
1114	迷路	get lost			Run *[ʈʂ/tç]hunɦ	
1115	米	rice	*Cuɾəp	*Cu[d/ɖ]əp		ləp⁸
1116	米酒	rice wine	*ɓiːŋɦ	*Cəʔbiːŋɦ		ɓiːŋ⁵
1117	米酒	rice wine			NCHl *pʰuː	
1118	密	dense	*ʔəːt	*ʔəːt		ʔɯət⁷
1119	蜜蜂	bee			GHl *kəːj	[tej¹]
1120	棉花	cotton	*ɓuːjʔ	*Cəʔbuːjʔ		[ɓɔk⁷]
1121	苗准	aim at			GHl *hrəɲ	[ɗuj⁴]
1122	明年	next year	*hmuːɦ	*muːɦ		maː¹
1123	明年	next year	*ɗəŋ	*Cəʔdəŋ		tʰiəŋ⁴
1124	明年	next year			CHl *ɦəwɦ	
1125	明年	next year			Qi *hŋom	
1126	明年	next year	*C-niːɦ	*C-niːɦ		
1127	明天	tomorrow	*hmiːʔ	*miːʔ		[kɯ²]
1128	明天	tomorrow			NECHl *ɦəwɦ	
1129	明天	tomorrow	*ɦəwɦ	*C-ɣəwɦ		ziaw⁴
1130	名字	name	*pʰaːŋ	*paːŋ		pʰɯː¹
1131	命中	hit target	*C-ləːm	*C-ləːm		[nɯən⁴]
1132	摸	feel			GHl *ʋɯːm	
1133	模仿	imitate	*tçʰəːŋ	*[c/ç]əːŋ		tsʰɔŋ⁵
1134	磨刀	sharpen	*ɾaː	*C-[d/ɖ]aː		lɔː⁴
1135	磨刀	sharpen			NWCHl *ɾaːt	
1136	蘑菇	mushroom	*ɗit	*Cəʔdit		[tsʰaŋ¹]
1137	蘑菇	mushroom			Meifu *[ʈʂ/tç]hinʔ	
1138	磨米	grind (rice)			CHl *kaːnɦ	kaːn⁵
1139	母雞	hen			GHl *hrəːj	kaːj⁵
1140	母雞	hen	*kʰəj	*[k/x]əj		kʰaj¹
1141	母雞	hen	*hmiːʔ	*miːʔ		maːj⁵
1142	母雞	hen	*kʰəj	*[k/x]əj		kʰaj¹
1143	母親	mother	*hmiːʔ	*miːʔ		maːj⁵
1144	母指	thumb	*hmiːʔ	*miːʔ		maːj⁵
1145	母指	thumb	*hljiːŋɦ	*Ciliːŋɦ		tsap⁹tsia⁴
1146	木板	board	*ɓeːnɦ	[*Cəʔbɛːnɦ]		ɓeːn⁵
1147	木杵	pestle	*tçʰaːk	*[c/ç]aːk		tsʰɯː⁵
1148	木耳	tree fungus (Auricularia auricula-judae)	*ɗit	*Cəʔdit		[kɔː¹]
1149	木耳	tree fungus (Auricularia auricula-judae)	*hljəj	*Ciləj		[tsəː²]
1150	木瓜	papaya	*Ciʔunɦ	*Ciʔunɦ		[pɔː⁵]
1151	木棉	cotton tree (Bombax ceiba)	*ɦaːwʔ	*C-ɣaːwʔ		hɔːw⁴
1152	木薯	yam	*hŋwəːj	*ŋwəːj		mɔːn¹
1153	木薯	yam			GHl *C-mən	
1154	木薯	yam			Qi *C-muːŋ	
1155	木薯	yam	*ɦaːwʔ	*C-ɣaːwʔ		hɔːw⁴
1156	拿	take	*tçʰiːwʔ	*[c/ç]iːwʔ		[kʰɛː⁵ləːw⁴]
1157	哪	which	*ɾaː	*C-[d/ɖ]aː		laːj⁴
1158	那	that (medial)	*ɦɯːɦ	*C-ɣɯːɦ		[kɛː⁴]
1159	那	that (distal)	*C-maːɦ	*C-maːɦ		mɔː⁵
1160	那	that (distal)			Run *C-naː[ʔ]	
1161	那樣	that way			GHl *ɗuŋ	[kɛː⁴]
1162	那樣	that way	*C-maːɦ	*C-maːɦ		mɔː⁵
1163	那樣	that way			ECHl *ɦɯːɦ	
1164	那樣	that way			Run *C-naː[ʔ]	
1165	男人	man	phɯ:1	*paːʔ		pʰɯː¹
1166	男人	man	*C-maːn	*C-maːn		[tsəː⁴]
1167	南	south	*pʰəjʔ	*pəjʔ		[haj²]
1168	南	south			Run *fʰ[a]ːŋ	
1169	南	south	*ɗəŋ	*Cəʔdəŋ		[mɯa⁵]
1170	南	south			NWCHl *kəw	
1171	南瓜	pumpkin	*ʔiː	*ʔiː		
1172	南瓜	pumpkin			GHl *ɦɯːp	huəp⁸
1173	南瓜	pumpkin			CHl *hrəːjɦ	
1174	南瓜	pumpkin			NECHl *hm[a]ːŋʔ	
1175	難	difficult	*ɾjaːk	*Ci[d/ɖ]aːk		[ʔaj¹]
1176	撓	scratch	*ɦɯːt	*C-ɣɯːt		
1177	撓	scratch			Meifu *kʰɯːt	kɯat⁷
1178	腦	brain	*hluːk	*luːk		ɬuːʔ⁸
1179	嫩	tender	*m-lɯːk	*m-lɯːk		[ɲəːp⁸]
1180	嫩	tender			Run *ʔuːt	
1181	能幹	able			GHl *kiːw	kiw¹
1182	能幹	able			NECHl *ɗəjɦ	
1183	泥(土)	mud			GHl *m-laːk	lɯa⁵
1184	你	you (sg.)	*C-mɯː	*C-mɯː		məj¹
1185	你們	you (pl.)			GHl *C-mɯː	
1186	你們	you (pl.)	*sʰəw	*səw		tsʰaw¹
1187	溺	drown	*hlom	*lom		[ɗɔːk⁹]
1188	溺	drown			NWCHl *tʰok	
1189	膩	greasy	*ʔaːjʔ	*ʔaːjʔ		[ʔem¹]
1190	年	year	*hmuːɦ	*muːɦ		maː¹
1191	黏	sticky	*C-ɲɯt	*C-ɲɯt		ɲɯːt¹⁰
1192	黏	sticky			Run *ʔeːt	
1193	鳥	bird	*sʰəc	*səc		[nɔːk⁹]
1194	尿	urine	*ɗuː	*Cəʔduː		[tsem⁵]
1195	擰	twist	*Ciɦəɲʔ	*Ciɣəɲʔ		[vuːt⁸]
1196	擰	twist			CHl *Ciɦət	
1197	凝固	solid	*tʰəːmɦ	*təːmɦ		tʰɔːm⁵
1198	牛虻	gadfly	*hmiːʔ	*miːʔ		[kɯ²]
1199	牛虻	gadfly	*ljaːk	*Cilaːk		[nɯa⁵]
1200	膿	pus	*Cuhriwʔ	*Curiwʔ		kuː¹
1201	膿	pus			NECHl *C-neːŋ	
1202	努力	exert	*tʰɯːn	*tɯːn		ɗaŋ¹
1203	努力	exert	*kʰuːɦ	*[k/x]uːɦ		kʰaːw¹
1204	暖和	warm	*hlunɦ	*lunɦ		tʰuːn⁵
1205	暖和	warm			NCHl *hlom	
1206	糯稻	glutinous rice	*C-muːnʔ	*C-muːnʔ		mɯ²
1207	糯稻	glutinous rice			CHl *C-muc	
1208	糯稻	glutinous rice	*C-ŋaːʔ	*C-ŋaːʔ		ŋow¹
1209	女兒	daughter	*hlɯːk	*lɯːk		ɬiək⁸
1210	女兒	daughter			Qi *ɗiʔ	
1211	女兒	daughter	*hmiːʔ	*miːʔ		[mɯ²]
1212	女兒	daughter	*kʰəwɦ	*[k/x]əwɦ		[taːw¹]
1213	女人	woman	*hmiːʔ	*miːʔ		mɯ²
1214	女人	woman	*kʰəwɦ	*[k/x]əwɦ		[taːw¹]
1215	女婿	son-in-law	*hlɯː	*lɯː		ɬaː⁴
1216	嘔吐	vomit			GHl *fʰaːk	[ʔɔŋ¹]
1217	趴(行)	lie face-down			GHl *Cuɦəːmʔ	[pʰok⁷]
1218	趴	climb (tree)	*C-naːn	*C-naːn		[kʰuən¹]
1219	爬	crawl	*Cuɦɯːm	*Cuɣɯːm		hɔːm⁴
1220	怕	afraid	*ɗaːʔ	*Cəʔdaːʔ		ɬɔː⁴
1221	怕	afraid			NCHl *C-m[a]ːŋ	
1222	排列	arrange	*hrəj	*rəj		[ɓaːj²]
1223	派遣	dispatch			GHl *ɓəj	pʰaːj⁴
1224	攀折	break (stem)	*hŋəw	*ŋəw		[ʔuːt⁹]
1225	攀折	break (stem)			NCHl *ʔuːʔ	
1226	攀折	break (stem)			Run *C-ŋuːt	
1227	旁邊	side	*C-ŋəːjɦ	*C-ŋəːjɦ		
1228	螃蟹	crab	*ɓuːɦ	*Cəʔbuːɦ		[tsʰaːk⁹]
1229	螃蟹	crab			NCHl *kʰaːɦ	
1230	胖	fat	*hruːjʔ	*ruːjʔ		kuj¹
1231	跑	run	*Cuhruːɦ	*Curuːɦ		kɔː¹
1232	跑味兒	stale	*hlujʔ	*lujʔ		[viː³fin⁴]
1233	泡沫	foam			GHl *fʰuːt	puət⁹
1234	泡沫	foam			CHl *fʰuːŋʔ	
1235	噴	spray (with mouth)	*pʰuɦ	*puɦ		ʔaːw¹
1236	噴	spray	*hlaːw	*laːw		[vuŋ⁵]
1237	盆	basin	*ʔ[a]ːŋɦ	*ʔ[a]ːŋɦ		
1238	朋友	friend			GHl *pʰiːnʔ	pɯən⁵
1239	捧	hold in two hands			CHl *kʰop	[huŋ¹]
1240	捧	hold in two hands			NWCHl *ʔɯn	
1241	碰見	meet	*[ʈʂ/tç]huːŋɦ	*[ʈ/c]uːŋɦ		
1242	碰見	meet			NWCHl *C-laːjʔ	
1243	劈	split	*ɓuːŋ	*Cəʔbuːŋ		[pɯaj¹]
1244	皮	skin (of fruit)	*fʰaːk	*faːk		pua⁵
1245	皮膚	skin	*C-nəːŋ	*C-nəːŋ		naː¹
1246	屁	fart	*tʰuːc	*tuːc		ɗuət⁹
1247	片	land clf.	*[ʈʂ/tç]haːn	*[ʈ/c]aːn		[hɯan¹]
1248	飄動	to wave	*C-lit	*C-lit		
1249	飄動	to wave			Run *ʔwit	
1250	瓢	ladle	*Cuɦiː	*Cuɣiː		[huəp⁸]
1251	瓢	ladle			Qi *hruːj	
1252	平	level			CHl *tʰəːj	
1253	潑	pour	*ɓaːnʔ	*Cəʔbaːnʔ		[ɬɔm²]
1254	潑	pour			CHl *hwiːt	
1255	潑	pour			CHl *tçəwɦ	
1256	破	break	*pʰəːnʔ	*pəːnʔ		ɓɯan¹
1257	噗	puff			CHl *m-liwɦ	[puːt⁹]
1258	噗	puff	*ɾjuɲʔ	*Ci[d/ɖ]uɲʔ		
1259	七	seven	*tʰuː	*tuː		ɗaw¹
1260	妻子	wife	*hmiːʔ	*miːʔ		
1261	妻子	wife			GHl *kʰəwɦ	[naːw⁵]
1262	妻子	wife	*hmiːʔ	*miːʔ		
1263	妻子	wife	*C-liwʔ	*C-liwʔ		
1264	妻子	wife			CHl *ɗun	
1265	棲息	perch	*tçəwʔ	*Cəʔɟəwʔ		[ŋɔm²]
1266	漆	lacquer			GHl *tçʰit	
1267	漆	lacquer			NCHl *tçʰət	
1268	起來	get up	*Cuʔɯːɦ	*Cuʔɯːɦ		ʔaː¹
1269	氣	air	*tçɯː	*Cəʔɟɯː		
1270	掐	pinch	*ɗəɲʔ	*Cəʔdəɲʔ		tɯən¹
1271	掐	pinch			Qi *ɾeːw	
1272	掐	pinch	*C-miːt	*C-miːt		pet⁷
1273	千	thousand	*C-ŋuːn	*C-ŋuːn		tsʰaːj⁵
1274	千	thousand			Qi *[ʈʂ/tç]həːj	
1275	千	thousand			NECHl *C-ŋin	
1276	牽	to lead	*Cuʈʂhun	*Cuʈun		toŋ¹
1277	前面	front	*pʰəjʔ	*pəjʔ		pʰaːj⁵
1278	前面	front	*ɗəŋ	*Cəʔdəŋ		tʰiəŋ⁴
1279	前天	day before yesterday	*hŋwən	*ŋwən		vɔːn¹
1280	前天	day before yesterday	*ɾəwʔ	*C-[d/ɖ]əwʔ		tsaːw⁴
1281	鉗子	tongs	*tçʰiːp	*[c/ç]iːp		
1282	潛水	dive	*tçom	*Cəʔɟom		tsem¹muat⁷
1283	淺	shallow	*tʰɯːnʔ	*tɯːnʔ		ɗaŋ¹
1284	錢	money	*tçiːn	*Cəʔɟiːn		tsin¹
1285	牆	wall	*hriːŋʔ	*riːŋʔ		
1286	牆	wall			Run *m-l[a]ːk	
1287	嗆	choke			GHl *kʰəːnʔ	kʰɯan¹
1288	悄悄地	quietly	*hrip	*rip		[tsəŋ²]
1289	敲	knock	*tʰoŋɦ	*toŋɦ		[ɗɔk⁷]
1290	敲	knock			Qi *ɓuːŋʔ	[təp⁸]
1291	撬	pry	*kʰəŋɦ	*[k/x]əŋɦ		kʰaŋ¹
1292	切	cut			GHl *hrət	
1293	切	cut			CHl *tʰəmʔ	[laːŋ⁵]
1294	勤勞	hard-working	*ʔunʔ	*ʔunʔ		
1295	勤勞	hard-working			Run *ɗəjɦ	
1296	青梅樹	plum tree	*C-muːj	*C-muːj		muːj¹
1297	青年	youth	*hlɯːk	*lɯːk		[mɯ²]
1298	青年	youth			GHl *C-mɯːn	[niaw¹]
1299	青蛙	frog	*kaːt	*Cəʔgaːt		[laːk⁸]
1300	青蛙	frog			Run *kaːp	
1301	輕	light (weight)	*kʰɯːʔ	*[k/x]ɯːʔ		kʰɔː⁵
1302	傾聽	listen			GHl *ɦiːŋ	
1303	傾聽	listen	*hljəj	*Ciləj		[ŋej²]
1304	傾聽	listen	*m-lɯː	*m-lɯː		
1305	傾斜	slant	*kiːŋ	*Cəʔgiːŋ		kiːŋ¹
1306	清	clear	*hraːw	*raːw		
1307	清	clear	*hlɯːŋʔ	*lɯːŋʔ		ɬaːŋ²
1308	清理	to clean	*sʰəc	*səc		
1309	清理	to clean			CHl *hlɯːŋʔ	[tsʰeŋ³]
1310	清理	to clean			ECHl *Cuɦəːk	
1311	蜻蜓	dragonfly	*hmiːʔ	*miːʔ		[tʰam¹/tʰap⁹]
1312	蜻蜓	dragonfly	*tçʰin	*[c/ç]in		[tʰiw⁵]
1313	晴	clear (sky)	*hlɯːŋʔ	*lɯːŋʔ		ɬaːŋ²
1314	請(叫)	invite			GHl *hrəjʔ	[kow⁴]
1315	窮	poor	*ʋaːt	*C-baːt		fɯːt⁸
1316	丘	mound			GHl *Ciɦəːn	huən³
1317	秋	autumn	*C-ɲaːn	*C-ɲaːn		[taw¹ku¹nuən¹]
1318	秋	autumn	*tʰət	*tət C-muːnʔ		
1319	秋	autumn			CHl *ɗaɲʔ	
1320	蚯蚓	earthworm	*Cuɦən	*Cuɣən		van¹
1321	蚯蚓	earthworm			Meifu *C-ŋəɲ	
1322	蚯蚓	earthworm			Run *C-luːɦ	
1323	驅逐	expel	*C-luːjʔ	*C-luːjʔ		[pʰeːk⁹]
1324	蛆	maggot	*hŋuj	*ŋuj		
1325	蛆	maggot			NECHl *ɗ[a]ːk	zɔːt⁸
1326	蛆	maggot			CHl *Ciɦənɦ	
1327	蛆	maggot			Qi *C-ɦaːjʔ	
1328	取	take			GHl *hmət	pat⁸
1329	取	take			Run *hmuːjʔ	
1330	娶	marry	*kaːk	*Cəʔgaːk		
1331	娶	marry			NCHl *ɗɯː	
1332	去	go	*ɦiː	*C-ɣiː		haj¹
1333	去	go			Run *pʰəɰ	
1334	去年	last year	*hmuːɦ	*muːɦ		mɯː²
1335	去年	last year	*pʰənʔ	*pənʔ		[[ləːj⁴]
1336	全部	all	*ɓaːjʔ	*Cəʔbaːjʔ		pɯj⁵
1337	全部	all			NECHl *ɾiːk	
1338	全部	all	*ɓaːjʔ	*Cəʔbaːjʔ		pɯj⁵
1339	全部	all			NECHl *ɾiːk	
1340	泉水	spring water	*C-nəmʔ	*C-nəmʔ		naːm¹
1341	泉水	spring water	*tçəŋ	*Cəʔɟəŋ		[tow¹]
1342	泉水	spring water			CHl *ɾjuɲʔ	[len⁴]
1343	拳頭	fist			GHl *Cuhrop	
1344	拳頭	fist			CHl *C-mɯː	
1345	勸解	mediate	*hraːk	*raːk		leːŋ¹
1346	勸解	mediate			CHl *C-l[a]ːŋ	
1347	缺口	gap	*ʋ[e]ːŋɦ	*C-b[ɛ]ːŋɦ		pəːŋ¹
1348	群	group	*kʰun	*[k/x]un		kʰuən²
1349	裙子	skirt	*ɾiːn	*C-[d/ɖ]iːnʔ		liən²
1350	染	dye	*hɲomʔ	*ɲomʔ		tsʰaːm¹
1351	染	dye			Qi *tçʰəmʔ	
1352	讓路	make way	*pʰiːŋʔ	*piːŋʔ		pʰiː¹
1353	讓路	make way			Qi *fʰiːŋʔ	
1354	繞過	make detour	*hwiːŋ	*wiːŋ		[ʔuan⁴]
1355	熱	hot	*Cuʈʂhəwʔ	*Cuʈəwʔ		[ʔjuŋ¹]
1356	熱	hot			CHl *sʰiːt	tsʰit⁷
1357	熱	to heat	*ɾəːmʔ	*C-[d/ɖ]əːmʔ		[hiːt⁸]
1358	人	person	*ʔaːw	*ʔaːw		[ɬaj⁴]
1359	人	person			NCHl *Cuɦaːw	
1360	人們	people	*kʰun	*[k/x]un		
1361	人們	people	*ʔaːw	*ʔaːw		
1362	人們	people			NCHl *Cuɦaːw	
1363	認識	know			GHl *kʰuːŋ	[min⁴]
1364	認識	know	*Cuhrɯː	*Curɯː		[taj²]
1365	紉針	thread needle	*sʰok	*sok		tsʰɔːk⁹
1366	扔	throw	*pʰ[e]ːŋʔ	*p[ɛ]ːŋʔ		[fat⁷]
1367	日	day	*hŋwən	*ŋwən		vɔːn¹
1368	日常	daily	*hrəːm	*rəːm		
1369	日常	daily	*hŋwən	*ŋwən		
1370	榕樹	banyan	*tʰəwʔ	*təwʔ		[fɯən¹]
1371	榕樹	banyan	*hriː	*riː		[ɗiaw¹]
1372	肉	meat			GHl *hrəmʔ	kəːm¹
1373	肉	flesh (of fruit)	*C-maːk	*C-maːk		mɯa⁵
1374	乳房	breast	*tçiɦ	*Cəʔɟiːɦ		[ɲen⁵]
1375	乳房	breast			NCHl *tçiː	
1376	乳房	breast			Run *tçiʔ	
1377	入赘	marry into wife’s family	*kʰaːn	*[k/x]aːn		kuən¹
1378	入赘	marry into wife’s family	*pʰuːnɦ	*puːnɦ		
1379	入赘	marry into wife’s family			CHl *m-loŋʔ	[ɬɯː²]
1380	軟	soft			GHl *hmuːt	puək⁷
1381	撒(沙)	cast (sand)	*Cuhruj	*Curuj		[tɔːk⁹]
1382	撒(種)	cast (seed)			GHl *fʰəːnɦ	[ʔia¹]
1383	塞	stop up	*ʔiːm	*ʔiːm		tsʰem¹
1384	塞	stop up			CHl *tçʰiːm	
1385	鰓	gill	*C-ŋaːk	*C-ŋaːk		ŋɯa⁵
1386	三	three	*Cuʈʂhuʔ	*Cuʈuʔ		taːw¹
1387	掃	sweep	*kuc	*Cəʔguc		
1388	掃	sweep			NCHl *pʰəːnɦ	
1389	掃	sweep			GHl *hrjik	tset¹⁰
1390	嫂子	elder brother’s wife	*tçuː	*Cəʔɟuː		tsʰuː¹
1391	澀	astringent	*hmɯnʔ	*mɯnʔ		paŋ⁴
1392	森林	forest	*hrəŋ	*rəŋ		[ŋuən⁵]
1393	森林	forest			NWCHl *sʰuːn	
1394	殺	kill	*ɦuːʔ	*C-ɣuːʔ		[tseː²]
1395	沙	sand	*pʰuːɦ	*puːɦ		[ɗej¹]
1396	紗	yarn			CHl *ɗənɦ	
1397	紗	yarn	*Cuhruj	*Curuj		[ɓɔk⁷]
1398	紗	yarn			Qi *ɓuːjʔ	
1399	篩	sift	*[ɾ/hr]jəw	*Ci[d/r]əw		tsiːw⁴
1400	篩	sift			NCHl *hjoŋ	
1401	篩	sift			Run *ɾoŋʔ	
1402	篩子	sieve			GHl *ɗoŋʔ	
1403	篩子	sieve			NCHl *hjoŋ	
1404	篩子	sieve			Run *ɾoŋʔ	
1405	篩子	sieve	*[ɾ/hr]jəw	*Ci[d/r]əw		tsiːw⁴
1406	曬	expose to sun	*ʈʂhiːŋʔ	*ʈiːŋʔ		tɯa⁵
1407	曬	expose to sun			Run *Cuʔiː	
1408	山	mountain	*Cuɦəwʔ	*Cuɣəwʔ		[tsow¹]
1409	山谷	mountain valley	*kʰəːŋ	*[k/x]əːŋ		kʰɔːŋ⁵
1410	山林	mountain forest	*ɗaːwʔ	*Cəʔdaːwʔ		tɯːw¹ʔuaŋ¹
1411	山腰	mountainside	*Ciɦaːɦ	*Ciɣaːɦ		
1412	山腰	mountainside	*C-ɲaːɦ	*C-ɲaːɦ		tʰum¹
1413	山腰	mountainside			CHl *tʰom	
1414	山腰	mountainside	*Cuɦəwʔ	*Cuɣəwʔ		
1415	閃電	lightning	*hljip	*Cilip		lip⁷
1416	扇子	a fan			GHl *hwoŋʔ	[pʰaŋ⁵]
1417	骟子	pheasant	*kʰəj	*[k/x]əj		kʰaj¹
1418	骟子	pheasant	*ɗɯːn	*Cəʔdɯːn		tʰɯŋ⁴
1419	傷口	wound			GHl *Ciɦaːnʔ	huən²
1420	上	ascend	*kʰaːn	*[k/x]aːn		kʰuən¹
1421	上	ascend			CHl *tçənʔ	
1422	上面	top	*pʰəjʔ	*pəjʔ		
1423	上面	top	*hnɯː	*nɯː		[law¹law¹]
1424	上午	noon			GHl *pʰaːk	[tow¹]
1425	上午	noon	*hŋwən	*ŋwən		vɔːn¹ɗaŋ⁵
1426	上衣	upper garment	*ʋ[e]ːŋʔ	*C-b[ɛ]ːŋʔ		voː⁴
1427	燒	burn			GHl *ɾəŋ	[haːŋ¹]
1428	燒	burn			CHl *ʔiːŋ	
1429	燒	burn			Run *tʰ[a]ːk	
1430	燒	burn	*tçʰujʔ	*[c/ç]ujʔ		tsej¹
1431	梢	tree top, tip	*Ciɦəːnʔ	*Ciɣəːnʔ		[lɔŋ¹]
1432	少	few	*ɾjəwɦ	*Ci[d/ɖ]əwɦ		[təːk⁸]
1433	少	few			NCHl *kʰəmʔ	
1434	潲雨	slanted rain	*pʰiːwɦ	*piːwɦ		[pʰat⁷]
1435	潲雨	slanted rain			Qi *fʰəːnɦ	
1436	舌頭	tongue	*hliːnʔ	*liːnʔ		ɬiːn⁴
1437	蛇	snake	*hljaːɦ	*Cilaːɦ		[ɓuət⁷]
1438	蛇	snake			NWCHl *C-nuːʔ	
1439	射	shoot	*hɲɯː	*ɲɯː		niː⁴
1440	射	shoot			NWCHl *ɓiːwɦ	
1441	伸	stretch	*hjaːʔ	*jaːʔ		tsɔː⁴
1442	伸	stretch	*C-gəwʔ	*Cəʔgəwʔ		[ɓɔŋ⁵]
1443	伸	stretch			Run *ʔɯː	
1444	伸	stretch			NWCHl *hjiːt	
1445	身體	body	*Cuɦuːn	*Cuɣuːn		huən⁴
1446	呻吟	groan			GHl *kəŋ	kiəŋ¹
1447	呻吟	groan			Meifu *kɯŋ	
1448	深	deep	*hləːk	*ləːk		ɬaː²
1449	深夜	deep night			GHl *pʰaːk	ɬaː²
1450	深夜	deep night			CHl *hləːk	
1451	深夜	deep night	*tçʰəp	*[c/ç]əp		tsʰɔːp⁹
1452	嬸母	father’s brother’s mother	*hmiː	*miː		
1453	腎	kidney	*C-nəːm	*C-nəːm		nam¹
1454	滲透	permeate			GHl *hrjəp	[ɓɯːn⁵ɗaŋ¹]
1455	生	raw	*Cuɾiːp	*Cu[d/ɖ]iːp		[ɬuət⁸]
1456	生	give birth	*hluː	*luː		ɬaw⁴
1457	生火	light fire	*C-muː	*C-muː		[ɲin⁴]
1458	生火	light fire	*fʰiː	*fiː		paj¹
1459	生氣	angry	*tʰɯːn	*tɯːn		ʔaː¹
1460	生氣	angry			Qi *Cuʔaːɦ	
1461	生氣	angry			Run *ɾinɦ	
1462	生氣	angry	*C-ŋaːn	*C-ŋaːn		ŋuən¹
1463	生銹	to rust	*kʰən	*[k/x]ən		
1464	生銹	to rust	*hlaːc	*laːc		
1465	生銹	to rust			NECHl *C-ŋwəjʔ	
1466	聲音	voice	*tʰiːw	*tiːw		tsʰew¹
1467	繩子	rope	*ɗəːj	*Cəʔdəːj		tɯj¹
1468	繩子	rope	*kʰaː	*[k/x]aː		
1469	剩餘	remainder	*hljaː	*Cilaː		tsow⁴
1470	剩餘物	remainders	*ɗaːn	*Cəʔdaːn		ɗuən¹
1471	失火	catch fire	*tʰəŋ	*təŋ		[nɯən⁴]
1472	失時	lose the chance	*ɾujʔ	*C-[d/ɖ]ujʔ		[kua⁵luːn²]
1473	虱子	louse	*tʰən	*tən		ten¹
1474	虱子	louse			NWCHl *hmət	
1475	濕	wet	*hmənʔ	*mənʔ		pəːn⁴
1476	十	ten	*fʰuːt	*fuːt		puət⁹
1477	十	ten			NCHl *fʰuːc	
