No.	Chinese gloss	English gloss	Proto-Hlai	Pre-Hlai	Hlai subgroup reconstructions	Jiamao
1478	石精	benzine	*tçʰiːn	*[c/ç]iːn		tsʰiːn¹
1479	石精	benzine	*hjaː	*jaː		tsoː¹
1480	石頭	stone	*tçʰiːn	*[c/ç]iːn		tsʰiːn¹
1481	食指	index finger	*hljiːŋɦ	*Ciliːŋɦ		tsap⁹tsia⁴
1482	食指	index finger			GHl *tçək	tsɔk⁷
1483	食指	index finger			CHl *tçok	
1484	食指	index finger	*C-ɲaːwʔ	*C-ɲaːwʔ		nɔːw⁴
1485	使用	use	*kɯːŋɦ	*Cəʔgɯːŋɦ		[zoŋ⁵]
1486	屎	excrement	*ɦaːjʔ	*C-ɣaːjʔ		hɯaj²
1487	試	try	*ɓɯːn	*Cəʔbɯːn		
1488	試	try			CHl *ɓi	
1489	世代	generation	*pʰɯːn	*pɯːn		[kit⁷]
1490	是	be			CHl *C-mən	tsaŋ¹
1491	收殮	prepare for burial	*C-luːt	*C-luːt		
1492	收殮	prepare for burial			Run *[ʈʂ/tç]hɯːmʔ	
1493	手	hand	*C-mɯː	*C-mɯː		maː¹
1494	手指	finger	*hljiːŋɦ	*Ciliːŋɦ		tsap⁹tsia⁴
1495	瘦	thin	*C-liːʔ	*C-liːʔ		[ŋaːw¹]
1496	叔父	father’s younger brother	*fʰɯː	*fɯː		paː¹
1497	梳	comb	*sʰ[e]ːŋ	*s[ɛ]ːŋ		tsʰiː¹
1498	疏	sparse	*hwaːnʔ	*waːnʔ		fuən¹
1499	贖	redeem	*ʈʂhəːmʔ	*ʈəːmʔ		tiam¹
1500	熟	cooked	*C-wuj	*C-wuj		fuəj¹
1501	數	count	*kʰaːjʔ	*[k/x]aːjʔ		kʰaː⁴
1502	樹	tree	*ʈʂhəj	*ʈəj		tsʰaj¹
1503	樹漿	tree sap	*tʰəːŋ	*təːŋ		ɗaː¹
1504	樹心	tree core	*Cuɦəc	*Cuɣəc		[ʔiət⁷]
1505	樹枝	tree branch			GHl *kʰaː	kʰow¹
1506	樹枝	tree branch			Qi *hnuːŋ	
1507	樹枝	tree branch	*ʈʂhəj	*ʈəj		tsʰaj¹
1508	豎	vertical	*ɾinɦ	*C-[d/ɖ]inɦ		[ləŋ⁴]
1509	豎	vertical			NWCHl *ɗaːɲ	
1510	摔	throw	*sʰəːp	*səːp		[ʔɔːp⁹]
1511	拴	tie	*C-ŋəːnʔ	*C-ŋəːnʔ		[kuŋ¹]
1512	雙	pair	*hlɯːmʔ	*lɯːmʔ		[ʔum¹]
1513	雙	pair			CHl *fʰiːk	
1514	雙生子	twins	*hlɯːk	*lɯːk		ɬiək⁸
1515	雙生子	twins			Qi *ɗiʔ	
1516	雙生子	twins	*pʰaː	*paː		ɓow¹
1517	霜	frost			GHl *hljin	[nɔːw⁴vuəj¹]
1518	誰	who	*ʔaːʔ	*ʔaːʔ		[kaːj⁵]
1519	誰	who			Run *ʔaː	
1520	誰	who	*ɾaː	*C-[d/ɖ]aː		
1521	水	water	*C-nəmʔ	*C-nəmʔ		naːm¹
1522	水壩	dam	*tʰəːmʔ	*təːmʔ		[tiːŋ⁵]
1523	水車	waterwheel			GHl *ʋənɦ	
1524	水溝	ditch	*sʰaːjɦ	*saːjɦ		[vaːj⁵]
1525	水溝	ditch	*C-nəmʔ	*C-nəmʔ		naːm¹
1526	水溝	ditch			Qi *ɗiŋɦ	
1527	水牛	water buffalo	*sʰujʔ	*sujʔ		tsʰej¹
1528	水獺	otter	*hnaːk	*naːk		nɯː²
1529	稅	tax	*ɦiːŋ	*C-ɣiːŋ		
1530	睡	sleep			GHl *tçəːn	
1531	睡	sleep (lay down)	*hŋuːɦ	*ŋuːɦ		ŋɔː⁴
1532	說	talk	*ɾiːn	*C-[d/ɖ]iːn		[huː¹]
1533	說	talk			NECHl *[ʈʂ/tç]himɦ	
1534	絲瓜	sponge gourd	*hm[e]ːŋʔ	*m[ɛ]ːŋʔ		peːŋ²
1535	絲瓜	sponge gourd			NECHl *ɾaːŋɦ	
1536	絲線	silk thread			GHl *fʰunɦ	[tɯj¹ɬɯːw⁴]
1537	私生子	illegitimate child	*hlɯːk	*lɯːk		ɬiək⁸
1538	私生子	illegitimate child			CHl *hjuː	[vɯam¹]
1539	私生子	illegitimate child			Run *[ʈʂ/tç]haː[ɦ]	
1540	撕	to tear	*ʔiːk	*ʔiːk		
1541	撕	to tear			NWCHl *ɗ[a]ːŋʔ	
1542	撕	to tear			NECHl *Cuʔiːk	
1543	撕	to tear			ECHl *C-ɲiːk	ɲiːt⁹
1544	死	die	*hlaːwɦ	*laːwɦ		[lɔːt⁹]
1545	死	die			CHl *ɦɯt	
1546	死	die			CHl *hljuːj	
1547	四	four	*ʈʂhaːwʔ	*ʈaːwʔ		tiəw¹
1548	四	four			CHl *ʈʂhəwʔ	
1549	四腳蛇	lizard	*ʔiːŋɦ	*ʔiːŋɦ		ʔiaŋ⁵
1550	四腳蛇	lizard			CHl *hrjɯːŋ	liəŋ⁴pow⁴tsə²
1551	飼料	feed (n.)			GHl *kʰən	haŋ¹
1552	松鼠	squirrel	*C-ɲaːt	*C-ɲaːt		[ləːn⁵]
1553	甦醒	awaken	*sʰɯː	*sɯː		[tsʰeːt⁹]
1554	肅靜	silence	*ʔət	*ʔət		
1555	肅靜	silence			Run *ɬɯːŋʔ	
1556	肅靜	silence			GHl *ʔik	ʔiːk⁹
1557	肅靜	silence			Run *hljiː[ʔ]	
1558	嗉子	crop			GHl *kʰən	[ɗeː⁵ʔɔː⁵]
1559	酸	sour	*C-waːʔ	*C-waːʔ		fow¹
1560	酸菜	pickled vegetables	*hrjiːŋ	*Ciriːŋ		[paː⁵]
1561	算盤	abacus			GHl *hljɯːɦ	
1562	碎	smash	*hnom	*nom		
1563	碎	smash			Run *hɲomɦ	
1564	孫子	grandson	*ɦəɲ	*C-ɣəɲ		ɬiək⁸
1565	孫子	grandson			CHl *hlɯːk	
1566	孫子	grandson	*pʰuːʔ	*pʰuːʔ		pəːw⁴
1567	孫子	grandson			CHl *fʰuːʔ	
1568	梭子	shuttle			GHl *kʰuc	kiət⁷
1569	簑衣	straw rain cape	*ɓiːnɦ	*Cəʔbiːnɦ		[tsʰuaŋ¹]
1570	簑衣	straw rain cape			Qi *ɓɯː	
1571	他	he/she	*C-naː	*C-naː		nej⁵
1572	他們	they			CHl *kʰun	
1573	他們	they	*ɾuːɦ	*C-[d/ɖ]uːɦ		[mow⁵]
1574	他們	they			NCHl *C-naː	
1575	台風	typhoon	*hwənɦ	*wənɦ		[pʰaːŋ¹]
1576	苔蘚	moss			GHl *C-nəːŋʔ	
1577	抬	lift (two people)	*ʈʂhaːm	*ʈaːm		tɔm¹
1578	太陽	sun	*ʈʂhaː	*ʈaː		tow¹
1579	太陽	sun	*hŋwən	*ŋwən		vɔːn¹
1580	太陽穴	temples	*ɦəw	*C-ɣəw		haw⁴
1581	太陽穴	temples	*fʰiːŋ	*fiːŋ		pia¹
1582	罈子	jug	*kəj	*Cəʔgəj		[kiːw¹]
1583	罈子	jug	*ʔuŋɦ	*ʔuŋɦ		[tʰuŋ⁴]
1584	痰	phlegm	*C-nəmʔ	*C-nəmʔ		naːm¹
1585	痰	phlegm			GHl *ɦaːk	haːk⁸
1586	痰	phlegm			NWCHl *kʰək	
1587	潭	pool	*hwaːŋ	*waːŋ		[tʰaː²]
1588	彈	card (cotton)	*hɲɯː	*ɲɯː		niː⁴
1589	炭	coal	*hlɯːɦ	*lɯːɦ		[ʔaːŋ¹paj¹]
1590	探望	visit			GHl *kʰəːmɦ	[tak⁸tej¹]
1591	探望	visit	*ʔiːp	*ʔiːp		
1592	趟	trip clf.	*hŋaːjʔ	*ŋaːjʔ		[lem¹]
1593	趟	trip clf.			Run *hŋəːjʔ	
1594	逃脫	escape	*C-luɲʔ	*C-luɲʔ		lɔn¹
1595	討厭	annoying	*ʔaːjʔ	*ʔaːjʔ		[ʔjam⁴]
1596	討厭	annoying			Meifu *ʔəjʔ	
1597	藤籮	rattan basket	*h[l]juːk	*[Cil/j]uːk		[ɓiːn¹lɔː¹]
1598	藤籮	rattan basket			CHl *[ʈʂ/tç]ʰəwɦ	
1599	藤簍	rattan slat basket	*ɓuŋ	*Cəʔbuŋ		puŋ¹
1600	梯子	ladder			GHl *pʰɯː	ɓaː¹
1601	啼(雞)	cry (chicken)	*Ciɦəːn	*Ciɣəːn		hɯan⁴
1602	蹄	hoof	*C-leːʔ	*C-lɛːʔ		[kaːw⁵]
1603	蹄	hoof			CHl *tçʰiːnʔ	
1604	蹄	hoof			NWCHl *sʰiːp	
1605	剃頭	shave head			ECHl *pʰaːw	[tʰəːŋ¹]
1606	剃頭	shave head			NECHl *ɾjiːnɦ	
1607	天	sky	*fʰaːʔ	*faːʔ		[vuəj¹]
1608	田	wet field	*hnaːɦ	*naːɦ		tow⁴
1609	田埂	field dike	*Ciɦəːn	*Ciɣəːn		hɯan⁴
1610	田埂	field dike	*hnaːɦ	*naːɦ		tow⁴
1611	田雞	frog (Hoplobatrachus rugulosus)	*hŋɯːɦ	*ŋɯːɦ		ŋaj¹
1612	田雞	frog (Hoplobatrachus rugulosus)			Qi *sʰiːt	tiːp⁷
1613	田雞	frog (Hoplobatrachus rugulosus)			NCHl *ʔɯp	
1614	田(野)	wild field	*ʔəŋ	*ʔəŋ		ʔuaŋ¹
1615	甜	sweet	*ɗ[e]ːŋ	*Cəʔd[ɛ]ːŋ		
1616	甜瓜	muskmelon (Cucumis melo)	*ʔəj	*ʔəj		
1617	填	fill with earth	*C-lɯːp	*C-lɯːp		
1618	填	fill with earth			Run *m-lom	
1619	舔	lick	*hljiːmɦ	*Ciliːmɦ		[ɬeːp⁸]
1620	舔	lick			NCHl *C-liːmɦ	
1621	舔	lick			NCHl *C-ɲiːmɦ	
1622	挑	pick out (thorn)	*[ʈʂ/tç]hɯnɦ	*[ʈ/c]ɯnɦ		[tɔk⁷]
1623	挑	carry on	*ʈʂhaːp	*ʈaːp		tɔːp⁹
1624	挑	burden clf.	*fʰiːk	*fiːk		pia⁹
1625	條	pants clf.	*Ciɦaːɦ	*Ciɣaːɦ		tɯj¹
1626	條	skirt clf.	*[ɾ/hr]juːt	*Ci[d/r]uːt		
1627	條/	long/thin clf.	*ɗənɦ	*Cəʔdənɦ		tiən¹
1628	調皮	naughty	*C-naː	*C-naː		now¹
1629	調皮	naughty	*hnəːŋ	*nəːŋ		naː¹
1630	調皮	naughty			GHl *hljəj	
1631	跳	jump	*tçuːnʔ	*Cəʔɟuːnʔ		tsuən¹
1632	跳躍	leap	*pʰit	*pit		[ɗet⁷]
1633	跳蚤	flea	*hməːt	*məːt		[taw¹pow⁴]
1634	貼	stick to	*pʰək	*pək		pʰak⁷
1635	鐵	iron	*hrəːj	*rəːj		kuj¹
1636	鐵鏟	iron shovel	*[ʈʂ/tç]hɛːwʔ	*[ʈ/c]ɛːwʔ		
1637	鐵鏟	iron shovel			CHl *tʰeːw	
1638	鐵鍬	spade	*hljaːwɦ	*Cilaːwɦ		zaːw⁴
1639	聽	listen	*m-lɯː	*m-lɯː		[ŋej²]
1640	聽	listen			NWCHl *hljiːŋɦ	
1641	聽說	hear it said			GHl *hliːŋ	[ŋej²vɯːn⁴]
1642	停	stop (turn off)	*C-ŋaːc	*C-ŋaːc		ŋaːt⁹
1643	同	same	*ɗuŋ	*Cəʔduŋ		ɗaːŋ²
1644	同伴	companion	*tʰəːŋʔ	*təːŋʔ		[tʰaw¹kʰoŋ¹]
1645	銅	copper	*ɗuːŋ	*Cəʔduːŋ		tuːŋ¹
1646	痛	hurt	*tçʰok	*[ʈ/c]ok		taːk⁹
1647	童山	bare hill	*kiŋ	*Cəʔgiŋ		
1648	偷	steal	*hljok	*Cilok		tsaːk⁸
1649	偷聽	overhear	*pʰəːk	*pəːk		pʰɔk⁷
1650	頭	head	*Cuhrəwʔ	*Curəwʔ		kiːw¹
1651	頭髮	hair (head)	*hnom	*nom		tiəm³
1652	頭髮	hair (head)			ECHl *ɗənɦ	
1653	頭髮	hair (head)			NCHl *Cuɦun	
1654	頭髮	hair (head)			NCHl *ɾom	
1655	頭髮	hair (head)	*Cuhrəwʔ	*Curəwʔ		kiːw¹
1656	頭虱	head louse	*Cuʈʂhuː	*Cuʈuː		taw¹
1657	凸	protrude			GHl *ɗunʔ	ɗɯːn¹
1658	塗抹	erase	*C-niːnɦ	*C-niːnɦ		[meːk⁹]
1659	塗抹	erase			Qi *Cuhraːt	
1660	塗抹	erase			Run *ʔeːt	
1661	吐	spit silk	*C-wunʔ	*C-wunʔ		[ʔɔŋ¹]
1662	吐痰	to spit	*pʰ[w]iɦ	*p[w]iɦ		pʰiː¹
1663	吐奶	spit up (milk)	*ɓɯnɦ	*Cəʔbɯnɦ		[ʔak⁷]
1664	推	push	*C-ɲuːnɦ	*C-ɲuːnɦ		
1665	腿	leg, thigh			GHl *fh[a]ːŋɦ	[hɔːk⁹]
1666	腿	leg, thigh			CHl *ɦaː	
1667	吞	swallow			GHl *Ciʔəːmɦ	[kuat¹⁰]
1668	臀部	buttock	*ɓiŋɦ	*Cəʔbiŋɦ		
1669	臀部	buttock			Qi *C-m[a]ːk	[pʰaŋ⁵]
1670	臀部	buttock			Qi *ɦaːjʔ	hɯaj²
1671	臀部	buttock			NECHl *tçʰiː	
1672	脫	take off	*hljaːwɦ	*Cilaːwɦ		[tsuət¹⁰]
1673	脫	take off			Run *hljuc	
1674	脫	shed	*C-ləɲʔ	*C-ləɲʔ		
1675	脫	shed	*kuːɲ	*Cəʔguːɲ		[pun¹]
1676	駝背	hunchback			NCHl *ɦomɦ	[kɔŋ¹ku⁴]
1677	駝背	hunchback			GHl *hroŋɦ	[kɔːm¹]
1678	駝背	hunchback			NWCHl *tçʰɯnʔ	
1679	駝背	hunchback			Run *hwəːn	
1680	庹	armspan	*hlaːnɦ	*laːnɦ		[tʰuət⁸]
1681	唾沫	saliva	*C-nəmʔ	*C-nəmʔ		naːm¹
1682	唾沫	saliva	*hləːj	*ləːj		ɬɯj⁴
1683	挖	dig hole	*Ciɦut	*Ciɣut		[taw¹]
1684	挖	dig hole			Meifu *kʰɯːt	
1685	挖	dig hole	*ɓənɦ	*Cəʔbənɦ		
1686	挖	dig with knife	*ɓəwɦ	*Cəʔbəwɦ		[hɔk⁸]
1687	挖	dig out			CHl *kʰuj	[taw¹]
1688	瓦	tile			GHl *fʰ[a]ːŋ	
1689	瓦	tile			CHl *tʰəw	
1690	外	outside	*hljɯːn	*Cilɯːn		[lɔːw⁴]
1691	外	outside			Run *hljiːnʔ	
1692	外祖父	mother’s father	*ʈʂhaːʔ	*ʈaːʔ		təː¹
1693	外祖母	mother’s mother	*hnaːʔ	*naːʔ		nɔː⁴
1694	外孫	maternal grandson	*hlɯːk	*lɯːk		ɬiək⁸
1695	外孫	maternal grandson	*ʈʂhaːʔ	*ʈaːʔ		təː¹
1696	彎	crooked, curved	*Ciʔut	*Ciʔut		ʔuːt⁹
1697	彎	crooked, curved			CHl *hwəːŋɦ	vɔːŋ⁵
1698	完結	end	*ɓaːjʔ	*Cəʔbaːjʔ		pɯj⁵
1699	完結	end			NECHl *ɓəːjʔ	
1700	完盡	finish	*m-lunɦ	*m-lunɦ		
1701	完盡	finish			NECHl *ɾiːt	
1702	完整	complete	*C-muːŋʔ	*C-muːŋʔ		
1703	玩	play	*hrjɯːk	*Cirɯːk		[liaw¹]
1704	玩	play			Run *ʔuːŋʔ	
1705	玩弄	dally	*C-ɲaːm	*C-ɲaːm		[tsum¹]
1706	玩耍	play			GHl *Cuɦəːŋ	[liaw¹]
1707	玩耍	play			Run *ʔuːŋʔ	
1708	晚	evening	*tçʰəp	*[c/ç]əp		tsʰɔːp⁹
1709	晚飯	dinner			GHl *hŋəwɦ	[tʰow¹]
1710	晚飯	dinner			GHl *fʰən	tsʰɔːp⁹
1711	晚上	evening	*hmiːʔ	*hmiːʔ		[kɯ²]
1712	晚上	evening	*tçʰəp	*[c/ç]əp		tsʰɔːp⁹
1713	碗	bowl, basin	*Cuʔaːw	*Cuʔaːw		[laːk⁹]
1714	碗櫥	cupboard	*tçaːnɦ	*Cəʔɟaːnɦ		[kaːn⁵]
1715	碗櫥	cupboard	*Cuʔaːw	*Cuʔaːw		[tʰow¹]
1716	網	net	*hrəːjʔ	*rəːjʔ		[piw¹]
1717	網袋	net bag	*ɗaːjʔ	[*Cəʔdaːjʔ]		
1718	忘記	forget	*C-lɯːmɦ	*C-lɯːmɦ		[ŋɔm³]
1719	煨	simmer			CHl *m-lomʔ	tʰum⁴
1720	圍	surround			GHl *kuːŋɦ	ʔuj
1721	圍	surround			CHl *tʰuːk	
1722	尾巴	tail	*tçʰuc	*[c/ç]uc		tsʰuət⁹
1723	餵	to feed	*ɓuːɦ	*Cəʔbuːɦ		foː⁴
1724	紋面	tattoo face	*C-ŋuː	*C-ŋuː		ŋaw⁵
1725	紋面	tattoo face			NECHl *ɓəwɦ	
1726	紋面	tattoo face			NECHl *hwət	[tɯp⁸]
1727	蚊帳	mosquito net	*hrəːjʔ	*rəːjʔ		
1728	蚊帳	mosquito net	*C-ɲuːŋ	*C-ɲuːŋ		
1729	蚊子	mosquito	*C-ɲuːŋ	*C-ɲuːŋ		tsʰak⁷
1730	瘟疫	epidemic	*hluːnʔ	*luːnʔ		tsaj¹
1731	瘟疫	epidemic			Qi *tçəj	
1732	瘟疫	epidemic			Run *kəːj	
1733	聞	smell	*ɦaːj	*C-ɣaːj		huəj⁴
1734	聞	smell			NCHl *Ciɦəːj	
1735	吻	kiss	*ɾjuːc	*Ci[d/ɖ]uːc		tsuət⁹
1736	吻	kiss			NECHl *[h/ʔ]juːnʔ	
1737	吻	kiss	*tʰəːŋʔ	*təːŋʔ		tʰaː¹
1738	問	ask			GHl *hraːm	kɔː¹
1739	蜗牛	snail	*tçʰiː	*[c/ç]iː		tsʰaj¹
1740	蜗牛	snail	*C-ɲaːmʔ	*C-ɲaːmʔ		[vuəj⁴]
1741	蜗牛	snail			Meifu *fʰaːʔ	
1742	窩	nest	*ɾuːk	*C-[d/ɖ]uːk		luːʔ⁸
1743	我	I	*ɦuː	*C-ɣuː		[kaw¹]
1744	我們	we (excl.)			CHl *fʰəw	[ʔaw¹]
1745	我們	we (excl.)			Run *fʰɯː	
1746	烏龜	turtle	*tʰuːɦ	*tuːɦ		ɗaːw¹
1747	烏鴉	crow	*ʔaːk	*ʔaːk		ʔɯː⁵
1748	污垢	filth			CHl *kʰiː	
1749	污垢	filth			CHl *tʰaːmʔ	
1750	污垢	filth	*C-nɯnɦ	*C-nɯnɦ		nɯa¹
1751	巫婆	witch	*hmɯːŋ	*mɯːŋ		[tsʰua⁵]
1752	巫婆	witch			Run *C-l[a]ːk	
1753	吳蚣	centipede	*ɾiːp	*C-[d/ɖ]iːp		lip⁸[pow⁴]
1754	五	five	*hmaː	*maː		puː⁴
1755	摀	cover mouth with hand	*pʰɯːm	*pɯːm		pʰɔːm¹
1756	霧	fog	*Cuɦəːn	*Cuɣəːn		
1757	霧	fog			CHl *hŋaːwʔ	kɔːw⁴
1758	西	west			GHl *pʰəjʔ	
1759	西	west			GHl *tʰɯːʔ	
1760	西	west	*pʰəjʔ	*pəjʔ		
1761	西	west			Run *fʰ[a]ːŋ	
1762	西	west	*hŋwən	*ŋwən		
1763	西	west			Qi *ʈʂhaː	
1764	西	west	*tʰok	*tok		
1765	吸氣	inhale	*hwɯp	*wɯp		[tan¹]
1766	吸氣	inhale			NECHl *tçuːt	
1767	錫	tin	*hlaːk	*laːk		[ɬap⁸ɬiən²]
1768	熄滅	extinguish			GHl *tçəp	tsep⁷
1769	膝蓋	knee	*Cuhrəwʔ	*Curəwʔ		[tʰɔk⁹]
1770	膝蓋	knee	*ɾuː	*C-[d/ɖ]uː		luː⁴
1771	蟋蟀	cricket	*hmiːʔ	*miːʔ		[kɯ²]
1772	蟋蟀	cricket	*Cuɾuːŋʔ	*Cu[d/ɖ]uːŋʔ		fuəŋ⁴
1773	蟋蟀	cricket			NECHl *kit	
1774	習慣	accustomed	*ɾaːjɦ	*C-[d/ɖ]aːjɦ		
1775	蓆草	mat grass (Cyperus spp.)			GHl *hrjiːwʔ	[ləːp⁷]
1776	蓆草	mat grass (Cyperus spp.)			Qi *hmiːwʔ	
1777	蓆子	mat			GHl *thɯ:k	tsiək⁸
1778	洗	wash	*ʔuːt	*ʔuːt		ʔuət⁹
1779	洗	wash			NCHl *[ç]aːwʔ	
1780	洗	wash			CHl *Cuhrəːj	
1781	洗	wash (clothes)			CHl *kʰɯːp	
1782	洗	wash (head)	*sʰəːk	*səːk		tsʰaː⁵
1783	洗澡	bathe	*ʔaːp	*ʔaːp		ʔɯp⁹
1784	喜鵲	magpie	*sʰəc	*səc		[nɔːk⁹]
1785	喜鵲	magpie			CHl *C-ɲaːmʔ	[luət⁸]
1786	喜鵲	magpie			CHl *hrjuːt	
1787	細	thin	*ʔuːt	*ʔuːt		[ɲəːp⁸]
1788	呷	sip	*tçʰɯp	*[c/ç]ɯp		[tsem⁴]
1789	呷	sip			Run *ɾjuːt	
1790	蝦	shrimp	*Cuɾaːŋ	*Cu[d/ɖ]aːŋ		[ʔɔː⁵]
1791	蝦	shrimp			CHl *hmɯːmɦ	
1792	瞎	blind	*m-laːw	*m-laːw		[kʰiw¹]
1793	下	descend	*ʈʂhuːʔ	*ʈuːʔ		
1794	下	descend	*C-luːj	*C-luːj		
1795	下	descend			CHl *ɾjəw	[taːw¹]
1796	下巴	chin	*ɦaːŋ	*C-ɣaːŋ		[tsʰɔːŋ¹]
1797	下飯	go with (food)	*ʔuːɲ	*ʔuːɲ		[ɲin⁴]
1798	下面	bottom	*pʰəjʔ	*pəjʔ		
1799	下面	bottom	*Cuʈʂhəw	*Cuʈəw		taːw¹
1800	下去	go down	*C-luːj	*C-luːj		
1801	下去	go down			Qi *hluːj	
1802	下去	go down			CHl *ɾjəw	[taːw¹]
1803	夏	summer	*C-ɲaːn	*C-ɲaːn		[pu⁴nəm⁴]
1804	夏	summer	*hnaːɦ	*naːɦ		
1805	夏	summer			CHl *sʰiːt	
1806	先	first	*kʰuːnɦ	*[k/x]uːnɦ		
1807	先	first	*ɦuːnɦ	*C-ɣuːnɦ		
1808	鹹	salty	*Cuɦaːnʔ	*Cuɣaːnʔ		[taŋ²]
1809	銜	hold in mouth	*C-ŋaːn	*C-ŋaːn		ŋuən¹
1810	蜆	clam	*tçʰiː	*[c/ç]iː		tsʰaj¹
1811	蜆	clam			GHl *ɓənɦ	[pow⁴]
1812	陷井	pitfall trap	*C-luːŋ	*C-luːŋ		
1813	陷井	pitfall trap			Qi *fʰ[a]ːŋʔ	tʰuəŋ⁴
1814	陷井	pitfall trap			NECHl *tçʰuːŋʔ	
1815	陷落	to cave in	*pʰuːŋ	*puːŋ		[tsuk⁸]
1816	陷落	to cave in			Qi *hljut	
1817	陷落	to cave in			NECHl *hlom	
1818	羨慕	envy			CHl *ɾjaːk	
1819	羨慕	envy	*C-ŋaːjɦ	*C-ŋaːjɦ		ŋaːj¹[tow¹]
1820	相同	same			GHl *ɗuŋ	
1821	相同	same	*tʰəːŋʔ	*təːŋʔ		
1822	相信	believe	*tçʰim	*[c/ç]im		
1823	相信	believe			Run *tçɯːŋɦ	
1824	香	fragrant	*tʰuːnɦ	*tuːnɦ		[hɔːŋ¹]
1825	香菇	mushroom	*ɗit	*Cəʔdit		tsʰaŋ¹
1826	香菇	mushroom			Qi *[ʈʂ/tç]həŋʔ	
1827	香菇	mushroom			GHl *tçʰinʔ	
1828	鑲	inlay			GHl *m-lom	[luən²]
1829	響	sound	*ɾəːŋ	*C-[d/ɖ]əːŋ		huː¹
1830	向著	toward	*tçok	*Cəʔɟok		
1831	項鍊	necklace			GHl *hŋiːw	kew⁴
1832	項圈	necklet	*kʰim	*kim		[tuəj²]
1833	項圈	necklet			CHl *hŋən	
1834	項圈	necklet			CHl *kʰiːnʔ	
1835	象	resemble			GHl *ɗuŋ	ɗaŋ¹
1836	削	peel	*hliːt	*liːt		
1837	削	peel			Qi *pʰaːt	[pʰəːk⁹]
1838	削	peel			NCHl *pʰinʔ	
1839	削	peel	*ɦuːt	*C-ɣuːt		
1840	削	peel	*kʰuɲ	*[k/x]uɲ		
